Territory,County,Subcounty,Brand,QTY_KG_RTM,QTY_KG_RTM_NORM_BRANDWISE,QTY_SHARE_REGION_BRAND,White Space Score,WEIGHT,AWS
CENTRAL,MURANG'A,MARAGWA,NDUME,21220,0.875975565,0.111131629,10.97780161,0.875975565,9.616285969
CENTRAL,MURANG'A,MATHIOYA,NDUME,2440,0.100724806,0.012778566,10.97780161,0.100724806,1.105736935
CENTRAL,NYANDARUA,KINANGOP,NDUME,420,0.017337876,0.002199589,10.97780161,0.017337876,0.190331768
CENTRAL,NYANDARUA,KIPIPIRI,NDUME,1250,0.051600823,0.006546397,10.97780161,0.051600823,0.566463594
CENTRAL,NYANDARUA,NDARAGWA,NDUME,89.2,0.003682235,0.000467151,10.97780161,0.003682235,0.040422842
CENTRAL,NYANDARUA,OL JOROK,NDUME,1780,0.073479571,0.009322069,10.97780161,0.073479571,0.806644158
CENTRAL,NYANDARUA,OL KALOU,NDUME,2090,0.086276575,0.010945575,10.97780161,0.086276575,0.947127129
CENTRAL,NYERI,KIENI,NDUME,3450,0.14241827,0.018068055,10.97780161,0.14241827,1.563439519
CENTRAL,NYERI,MATHIRA,NDUME,2640,0.108980937,0.01382599,10.97780161,0.108980937,1.19637111
CENTRAL,NYERI,MUKURWENI,NDUME,1170,0.04829837,0.006127427,10.97780161,0.04829837,0.530209924
CENTRAL,NYERI,NYERI TOWN,NDUME,8862,0.365829192,0.046411333,10.97780161,0.365829192,4.016000295
CENTRAL,NYERI,OTHAYA,NDUME,1890,0.078020444,0.009898152,10.97780161,0.078020444,0.856492954
CENTRAL,NYERI,TETU,NDUME,260,0.010732971,0.00136165,10.97780161,0.010732971,0.117824428
CENTRAL,KIAMBU,GATUNDU NORTH,ONJA,47.5,0.081465517,0.009346714,48.25271697,0.081861267,3.950028533
CENTRAL,KIAMBU,GATUNDU SOUTH,ONJA,29,0.049568966,0.005706415,48.25271697,0.049978458,2.411596367
CENTRAL,KIAMBU,GITHUNGURI,ONJA,217.5,0.374568966,0.042798111,48.25271697,0.374838432,18.08697275
CENTRAL,KIAMBU,JUJA,ONJA,580.25,1,0.114177489,48.25271697,1,48.25271697
CENTRAL,KIAMBU,KABETE,ONJA,30.75,0.052586207,0.006050767,48.25271697,0.052994399,2.557123734
CENTRAL,KIAMBU,KIAMBAA,ONJA,21,0.035775862,0.004132231,48.25271697,0.036191297,1.746328404
CENTRAL,KIAMBU,KIAMBU,ONJA,160.75,0.276724138,0.031631248,48.25271697,0.27703576,13.36772814
CENTRAL,KIAMBU,KIKUYU,ONJA,5,0.008189655,0.000983865,48.25271697,0.008616975,0.415792477
CENTRAL,KIAMBU,LARI,ONJA,3,0.004741379,0.000590319,48.25271697,0.005170185,0.249475486
CENTRAL,KIAMBU,LIMURU,ONJA,62.5,0.107327586,0.012298308,48.25271697,0.107712193,5.197405964
CENTRAL,KIAMBU,ROYSAMBU,ONJA,0.25,0,4.92E-05,48.25271697,0.000430849,0.020789624
